player_name,country,points,position,year,instagram_followers,youtube_subscribers,tiktok_followers,twitter_followers,wikipedia_views,fact_player_pk
Jacobo Perez Cendon,ESP,166,68,2024,no verified account,no verified account,no verified account,no verified account,no verified account,149
Maxime Moreau,FRA,163,353,2024,no verified account,no verified account,no verified account,no verified account,no verified account,150
Iago Gonzalez NiÃ±o,ESP,162,181,2024,no verified account,no verified account,no verified account,no verified account,no verified account,151
Sergio Icardo,UAE,161,184,2024,no verified account,no verified account,no verified account,no verified account,no verified account,152
Jerome Inzerillo,FRA,160,31,2024,no verified account,no verified account,no verified account,no verified account,no verified account,153
Anton Sans,ESP,159,475,2024,no verified account,no verified account,no verified account,no verified account,no verified account,154
Johan Bergeron,FRA,150,47,2024,no verified account,no verified account,no verified account,no verified account,no verified account,155
Eneko Arija,ESP,146,214,2024,no verified account,no verified account,no verified account,no verified account,no verified account,156
Lorenzo Di Giovanni,ITA,138,202,2024,no verified account,no verified account,no verified account,no verified account,no verified account,157
Bastien BlanquÃ©,FRA,134,47,2024,no verified account,no verified account,no verified account,no verified account,no verified account,158
RaÃºl Marcos DurÃ¡n,ESP,133,541,2024,no verified account,no verified account,no verified account,no verified account,no verified account,159
Roger Aromi Siquier,ESP,128,288,2024,no verified account,no verified account,no verified account,no verified account,no verified account,160
Andres Fernandez Lancha,ESP,125,299,2024,no verified account,no verified account,no verified account,no verified account,no verified account,161
Alberto Garcia Jimenez,ESP,125,269,2024,no verified account,no verified account,no verified account,no verified account,no verified account,162
Pedro Araujo,PRT,124,345,2024,no verified account,no verified account,no verified account,no verified account,no verified account,163
Dylan Guichard,FRA,122,46,2024,no verified account,no verified account,no verified account,no verified account,no verified account,164
Gonzalo Perez Arbona,ESP,122,223,2024,no verified account,no verified account,no verified account,no verified account,no verified account,165
Giulio Graziotti,ITA,119,264,2024,no verified account,no verified account,no verified account,no verified account,no verified account,166
Dylan Demian Cuello,ARG,116,287,2024,no verified account,no verified account,no verified account,no verified account,no verified account,167
Adrian Ronco Lopez,ESP,114,359,2024,no verified account,no verified account,no verified account,no verified account,no verified account,168
Manuel CastaÃ±o,ESP,113,314,2024,no verified account,no verified account,no verified account,no verified account,no verified account,169
Alvaro Montiel Caruso,ITA,112,662,2024,no verified account,no verified account,no verified account,no verified account,no verified account,170
Jaime Fermosell Delgado,ESP,111,227,2024,no verified account,no verified account,no verified account,no verified account,no verified account,171
Candido Jorge Alfaro,ESP,110,308,2024,no verified account,no verified account,no verified account,no verified account,no verified account,172
Henrique Barbosa,PRT,109,241,2024,no verified account,no verified account,no verified account,no verified account,no verified account,173
Belar Vera Lopez,ESP,108,256,2024,no verified account,no verified account,no verified account,no verified account,no verified account,174
Thomas Leygue,FRA,106,45,2024,no verified account,no verified account,no verified account,no verified account,no verified account,175
Nuno Deus,PRT,106,367,2024,no verified account,no verified account,no verified account,no verified account,no verified account,176
Gerard Arnaldos Serrano,ESP,105,322,2024,no verified account,no verified account,no verified account,no verified account,no verified account,177
Jose Luis Gonzalez,ESP,102,642,2024,no verified account,no verified account,no verified account,no verified account,no verified account,178
Clement Geens,BEL,102,46,2024,no verified account,no verified account,no verified account,no verified account,no verified account,179
Ramiro Jesus Valenzuela,ARG,101,700,2024,no verified account,no verified account,no verified account,no verified account,no verified account,180
Pepe Aliaga,ESP,100,373,2024,no verified account,no verified account,no verified account,no verified account,no verified account,181
Mario Ortega,ESP,99,606,2024,no verified account,no verified account,no verified account,no verified account,no verified account,182
Miguel Lamperti,ARG,97,894,2024,33437,24525,9030,9827,4717,183
Jaime Munoz,ESP,96,788,2024,no verified account,no verified account,no verified account,no verified account,no verified account,184
Antonio Luque,PRT,94,559,2024,no verified account,no verified account,no verified account,no verified account,no verified account,185
Facundo Dominguez,ITA,93,897,2024,no verified account,no verified account,no verified account,no verified account,no verified account,186
Miguel Angel Solbes,ESP,92,589,2024,no verified account,no verified account,no verified account,no verified account,no verified account,187
Carlos Marti,ESP,88,773,2024,no verified account,no verified account,no verified account,no verified account,no verified account,188
Ignacio Piotto Albornoz,ARG,88,45,2024,no verified account,no verified account,no verified account,no verified account,no verified account,189
Rafael Mendez,ESP,85,607,2024,no verified account,no verified account,no verified account,no verified account,no verified account,190
Ignacio VilariÃ±o Gestoso,ESP,84,647,2024,no verified account,no verified account,no verified account,no verified account,no verified account,191
Cristian Gutierrez,ARG,83,741,2024,no verified account,no verified account,no verified account,no verified account,no verified account,192
Diego Gil,ESP,80,694,2024,no verified account,no verified account,no verified account,no verified account,no verified account,193
Miguel Semmler,ESP,79,1,2024,no verified account,no verified account,no verified account,no verified account,no verified account,194
Emilio Sanchez Chamero,ESP,74,865,2024,no verified account,no verified account,no verified account,no verified account,no verified account,195
Denis Tomas Perino,ITA,72,811,2024,no verified account,no verified account,no verified account,no verified account,no verified account,196
Marc Quilez,ESP,69,834,2024,no verified account,no verified account,no verified account,no verified account,no verified account,197
IvÃ¡n Ramirez Del Campo,ESP,66,831,2024,no verified account,no verified account,no verified account,no verified account,no verified account,198
JesÃºs Moya Sos,ESP,64,780,2024,no verified account,no verified account,no verified account,no verified account,no verified account,199
Daniel Windahl,SWE,57,810,2024,no verified account,no verified account,no verified account,no verified account,no verified account,200
Jose Jimenez Casas,ESP,48,857,2024,no verified account,no verified account,no verified account,no verified account,no verified account,201
Alonso Rodriguez Martinez,ESP,44,642,2024,no verified account,no verified account,no verified account,no verified account,no verified account,202
Jose David Sanchez Serrano,ESP,43,694,2024,no verified account,no verified account,no verified account,no verified account,no verified account,203
Ãlvaro MÃ©lendez Amaya,ESP,42,741,2024,no verified account,no verified account,no verified account,no verified account,no verified account,204
Pedro Melendez Amaya,ESP,41,773,2024,no verified account,no verified account,no verified account,no verified account,no verified account,205
Aitor Garcia Bassas,ESP,40,589,2024,no verified account,no verified account,no verified account,no verified account,no verified account,206
Aris Patiniotis,ITA,39,780,2024,no verified account,no verified account,no verified account,no verified account,no verified account,207
Mario Del Castillo,ESP,38,647,2024,no verified account,no verified account,no verified account,no verified account,no verified account,208
Federico MouriÃ±o,ARG,37,834,2024,no verified account,no verified account,no verified account,no verified account,no verified account,209
Mario Huete Hernandez,ESP,36,897,2024,no verified account,no verified account,no verified account,no verified account,no verified account,210
Daniel Santigosa Sastre,ESP,35,894,2024,no verified account,no verified account,no verified account,no verified account,no verified account,211
David Gala,ESP,34,788,2024,no verified account,no verified account,no verified account,no verified account,no verified account,212
Jorge Ruiz,ESP,33,1,2024,no verified account,no verified account,no verified account,no verified account,no verified account,213
Javier Ruiz Gonzalez,ESP,32,736,2024,no verified account,no verified account,no verified account,no verified account,no verified account,214
Pierantonio Gherardi,ITA,32,6,2024,no verified account,no verified account,no verified account,no verified account,no verified account,215
Jose Solano Marmolejo,ESP,31,831,2024,no verified account,no verified account,no verified account,no verified account,no verified account,216
Javier Bravo,ESP,31,736,2024,no verified account,no verified account,no verified account,no verified account,no verified account,217
Ricardo Cabello Giacalone,ESP,31,7,2024,no verified account,no verified account,no verified account,no verified account,no verified account,218
Pablo Garcia Rodrigo,ESP,30,865,2024,no verified account,no verified account,no verified account,no verified account,no verified account,219
Alejandro Jerez Carnero,ESP,30,31,2024,no verified account,no verified account,no verified account,no verified account,no verified account,220
Matteo Mancini,ITA,30,31,2024,no verified account,no verified account,no verified account,no verified account,no verified account,221
Victor Manuel Mena,ESP,29,811,2024,no verified account,no verified account,no verified account,no verified account,no verified account,222
Nicolas Suescun,ITA,29,314,2024,no verified account,no verified account,no verified account,no verified account,no verified account,223
Giorgio Saputo,ITA,29,37,2024,no verified account,no verified account,no verified account,no verified account,no verified account,224
Javier Valdes,CHL,28,810,2024,no verified account,no verified account,no verified account,no verified account,no verified account,225
Julien Seurin,FRA,28,353,2024,no verified account,no verified account,no verified account,no verified account,no verified account,226
Carlos Delgado Garcia,ESP,28,19,2024,no verified account,no verified account,no verified account,no verified account,no verified account,227
Antonio Fernandez,ESP,27,857,2024,no verified account,no verified account,no verified account,no verified account,no verified account,228
Derek Gerson,FRA,27,9,2024,no verified account,no verified account,no verified account,no verified account,no verified account,229
Christian Fuster,ESP,26,184,2024,no verified account,no verified account,no verified account,no verified account,no verified account,230
Ids Hannema,NLD,26,35,2024,no verified account,no verified account,no verified account,no verified account,no verified account,231
Jose Roman Martinez Sanchis,ESP,25,269,2024,no verified account,no verified account,no verified account,no verified account,no verified account,232
Vincent Pierre,FRA,25,23,2024,no verified account,no verified account,no verified account,no verified account,no verified account,233
Jorge AnglÃ©s Ponce,ESP,24,20,2024,no verified account,no verified account,no verified account,no verified account,no verified account,234
Ricardo Martinez Sanchez,ESP,23,223,2024,no verified account,no verified account,no verified account,no verified account,no verified account,235
Sergio Esteban Barroso,ESP,23,30,2024,no verified account,no verified account,no verified account,no verified account,no verified account,236
Adria Mercadal,ESP,22,287,2024,no verified account,no verified account,no verified account,no verified account,no verified account,237
